Game,Winner,Turns,GNU_Moves,Nodots_Moves,Duration_Seconds,Status
1,GNU,29,50,46,0.02,completed
2,GNU,39,65,59,0.01,completed
3,GNU,32,53,62,0.01,completed
4,NODOTS,33,56,60,0.01,completed
5,GNU,31,52,51,0.01,completed
6,GNU,35,61,52,0.01,completed
7,GNU,30,50,47,0.01,completed
8,GNU,38,60,59,0.01,completed
9,GNU,38,64,56,0.01,completed
10,NODOTS,43,65,64,0.01,completed
11,NODOTS,35,57,61,0.01,completed
12,GNU,40,61,66,0.01,completed
13,GNU,39,66,57,0.01,completed
14,NODOTS,29,44,52,0.01,completed
15,NODOTS,32,50,57,0.01,completed
16,NODOTS,39,59,64,0.01,completed
17,GNU,40,61,63,0.01,completed
18,GNU,32,55,51,0.01,completed
19,NODOTS,27,43,49,0.01,completed
20,GNU,31,57,47,0.01,completed
21,GNU,34,58,53,0.01,completed
22,GNU,34,59,51,0.01,completed
23,GNU,39,65,52,0.01,completed
24,NODOTS,35,53,55,0.01,completed
25,GNU,40,63,61,0.01,completed
26,GNU,38,58,57,0.01,completed
27,NODOTS,33,52,52,0.01,completed
28,GNU,33,58,52,0.01,completed
29,GNU,38,63,62,0.01,completed
30,GNU,33,60,52,0.01,completed
31,GNU,35,55,53,0.01,completed
32,NODOTS,31,53,58,0.01,completed
33,GNU,37,58,60,0.01,completed
34,NODOTS,35,55,57,0.01,completed
35,GNU,43,69,67,0.01,completed
36,GNU,31,51,51,0.01,completed
37,GNU,31,54,45,0.01,completed
38,GNU,37,66,59,0.01,completed
39,GNU,42,68,69,0.01,completed
40,GNU,34,58,50,0.01,completed
41,NODOTS,37,60,62,0.01,completed
42,GNU,33,55,52,0.01,completed
43,GNU,41,68,61,0.01,completed
44,GNU,28,51,48,0.01,completed
45,NODOTS,29,48,48,0.01,completed
46,NODOTS,29,48,50,0.01,completed
47,GNU,40,65,66,0.01,completed
48,GNU,39,65,62,0.01,completed
49,NODOTS,31,47,57,0.01,completed
50,GNU,38,63,59,0.01,completed
51,GNU,34,60,49,0.01,completed
52,GNU,33,56,60,0.01,completed
53,GNU,31,56,50,0.01,completed
54,NODOTS,37,62,60,0.01,completed
55,GNU,27,47,45,0.01,completed
56,NODOTS,27,45,49,0.01,completed
57,GNU,40,65,64,0.01,completed
58,GNU,27,47,47,0.01,completed
