GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:20:44.951Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-20-44-951Z

Game 1: O | GNU | clockwise > (29 turns, 50/46 moves, 0.02s)
Game 2: X | NODOTS | counterclockwise > (38 turns, 65/62 moves, 0.02s)
Game 3: X | NODOTS | counterclockwise > (31 turns, 49/56 moves, 0.01s)
Game 4: O | GNU | clockwise > (34 turns, 54/59 moves, 0.01s)
Game 5: X | NODOTS | counterclockwise > (36 turns, 56/58 moves, 0.01s)
Game 6: O | GNU | clockwise > (31 turns, 56/53 moves, 0.01s)
Game 7: O | GNU | clockwise > (44 turns, 67/66 moves, 0.01s)
Game 8: O | GNU | clockwise > (27 turns, 50/38 moves, 0.01s)
Game 9: O | GNU | clockwise > (29 turns, 53/48 moves, 0.01s)
Game 10: O | GNU | clockwise > (37 turns, 62/59 moves, 0.01s)
Game 11: O | GNU | clockwise > (40 turns, 67/60 moves, 0.01s)
Game 12: X | NODOTS | counterclockwise > (34 turns, 53/58 moves, 0.01s)
Game 13: X | NODOTS | counterclockwise > (40 turns, 68/65 moves, 0.01s)
Game 14: X | NODOTS | counterclockwise > (41 turns, 62/70 moves, 0.01s)
Game 15: O | GNU | clockwise > (29 turns, 53/48 moves, 0.01s)
Game 16: O | GNU | clockwise > (34 turns, 56/57 moves, 0.01s)
Game 17: O | GNU | clockwise > (36 turns, 61/52 moves, 0.01s)
Game 18: X | NODOTS | counterclockwise > (27 turns, 39/51 moves, 0.01s)
Game 19: O | GNU | clockwise > (36 turns, 60/66 moves, 0.01s)
Game 20: O | GNU | clockwise > (31 turns, 54/49 moves, 0.01s)
Game 21: O | GNU | clockwise > (36 turns, 61/58 moves, 0.01s)
Game 22: O | GNU | clockwise > (26 turns, 47/51 moves, 0.01s)
Game 23: X | NODOTS | counterclockwise > (36 turns, 58/61 moves, 0.01s)
Game 24: X | NODOTS | counterclockwise > (33 turns, 50/56 moves, 0.01s)
Game 25: O | GNU | clockwise > (35 turns, 62/55 moves, 0.01s)
Game 26: O | GNU | clockwise > (34 turns, 59/50 moves, 0.01s)
Game 27: O | GNU | clockwise > (31 turns, 51/47 moves, 0.01s)
Game 28: O | GNU | clockwise > (31 turns, 55/49 moves, 0.01s)
Game 29: X | NODOTS | counterclockwise > (35 turns, 55/57 moves, 0.01s)
Game 30: X | NODOTS | counterclockwise > (44 turns, 70/74 moves, 0.02s)
Game 31: X | NODOTS | counterclockwise > (36 turns, 60/61 moves, 0.01s)
Game 32: O | GNU | clockwise > (37 turns, 62/51 moves, 0.01s)
Game 33: O | GNU | clockwise > (32 turns, 55/51 moves, 0.01s)
Game 34: O | GNU | clockwise > (35 turns, 61/47 moves, 0.01s)
Game 35: O | GNU | clockwise > (44 turns, 67/66 moves, 0.01s)
Game 36: O | GNU | clockwise > (35 turns, 59/51 moves, 0.01s)
Game 37: O | GNU | clockwise > (36 turns, 59/57 moves, 0.01s)
Game 38: X | NODOTS | counterclockwise > (38 turns, 63/56 moves, 0.01s)
