GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:21:42.751Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-21-42-750Z

Game 1: X | NODOTS | counterclockwise > (33 turns, 54/59 moves, 0.02s)
Game 2: X | NODOTS | counterclockwise > (24 turns, 40/45 moves, 0.01s)
Game 3: O | GNU | clockwise > (29 turns, 50/45 moves, 0.01s)
Game 4: X | NODOTS | counterclockwise > (31 turns, 51/55 moves, 0.01s)
Game 5: X | NODOTS | counterclockwise > (37 turns, 64/61 moves, 0.01s)
Game 6: X | NODOTS | counterclockwise > (33 turns, 54/56 moves, 0.01s)
Game 7: O | GNU | clockwise > (32 turns, 55/45 moves, 0.01s)
Game 8: O | GNU | clockwise > (35 turns, 56/54 moves, 0.01s)
Game 9: O | GNU | clockwise > (42 turns, 68/64 moves, 0.01s)
Game 10: O | GNU | clockwise > (40 turns, 65/54 moves, 0.01s)
Game 11: O | GNU | clockwise > (39 turns, 69/56 moves, 0.01s)
Game 12: X | NODOTS | counterclockwise > (31 turns, 49/53 moves, 0.01s)
Game 13: O | GNU | clockwise > (25 turns, 50/36 moves, 0.01s)
Game 14: O | GNU | clockwise > (33 turns, 57/53 moves, 0.01s)
Game 15: O | GNU | clockwise > (31 turns, 56/51 moves, 0.01s)
Game 16: X | NODOTS | counterclockwise > (43 turns, 69/71 moves, 0.01s)
Game 17: X | NODOTS | counterclockwise > (29 turns, 50/50 moves, 0.01s)
Game 18: O | GNU | clockwise > (31 turns, 53/49 moves, 0.01s)
Game 19: O | GNU | clockwise > (27 turns, 52/37 moves, 0.01s)
Game 20: O | GNU | clockwise > (33 turns, 60/52 moves, 0.01s)
Game 21: X | NODOTS | counterclockwise > (43 turns, 67/71 moves, 0.01s)
Game 22: X | NODOTS | counterclockwise > (29 turns, 46/56 moves, 0.01s)
Game 23: X | NODOTS | counterclockwise > (30 turns, 49/51 moves, 0.01s)
Game 24: O | GNU | clockwise > (35 turns, 58/50 moves, 0.01s)
Game 25: X | NODOTS | counterclockwise > (35 turns, 59/59 moves, 0.01s)
Game 26: X | NODOTS | counterclockwise > (32 turns, 56/59 moves, 0.01s)
Game 27: O | GNU | clockwise > (33 turns, 58/56 moves, 0.01s)
Game 28: O | GNU | clockwise > (38 turns, 60/58 moves, 0.01s)
Game 29: O | GNU | clockwise > (42 turns, 71/67 moves, 0.01s)
Game 30: X | NODOTS | counterclockwise > (34 turns, 59/54 moves, 0.01s)
Game 31: X | NODOTS | counterclockwise > (29 turns, 48/50 moves, 0.01s)
Game 32: X | NODOTS | counterclockwise > (35 turns, 55/62 moves, 0.01s)
Game 33: O | GNU | clockwise > (38 turns, 58/58 moves, 0.01s)
Game 34: X | NODOTS | counterclockwise > (42 turns, 67/62 moves, 0.01s)
Game 35: O | GNU | clockwise > (36 turns, 61/52 moves, 0.01s)
Game 36: O | GNU | clockwise > (43 turns, 73/64 moves, 0.02s)
Game 37: X | NODOTS | counterclockwise > (33 turns, 52/59 moves, 0.01s)
Game 38: O | GNU | clockwise > (33 turns, 58/49 moves, 0.01s)
Game 39: X | NODOTS | counterclockwise > (34 turns, 57/52 moves, 0.01s)
Game 40: O | GNU | clockwise > (42 turns, 66/65 moves, 0.01s)
Game 41: O | GNU | clockwise > (40 turns, 65/58 moves, 0.01s)
Game 42: O | GNU | clockwise > (37 turns, 69/56 moves, 0.01s)
Game 43: O | GNU | clockwise > (33 turns, 60/45 moves, 0.01s)
Game 44: O | GNU | clockwise > (36 turns, 61/52 moves, 0.01s)
Game 45: O | GNU | clockwise > (35 turns, 65/53 moves, 0.01s)
Game 46: X | NODOTS | counterclockwise > (32 turns, 54/55 moves, 0.01s)
Game 47: O | GNU | clockwise > (34 turns, 55/54 moves, 0.01s)
Game 48: O | GNU | clockwise > (32 turns, 56/48 moves, 0.01s)
Game 49: O | GNU | clockwise > (35 turns, 62/55 moves, 0.01s)
Game 50: X | NODOTS | counterclockwise > (38 turns, 57/60 moves, 0.01s)
Game 51: O | GNU | clockwise > (35 turns, 58/59 moves, 0.01s)
Game 52: O | GNU | clockwise > (37 turns, 62/53 moves, 0.01s)
Game 53: X | NODOTS | counterclockwise > (33 turns, 50/54 moves, 0.01s)
Game 54: O | GNU | clockwise > (31 turns, 53/49 moves, 0.01s)
Game 55: X | NODOTS | counterclockwise > (28 turns, 44/47 moves, 0.01s)
Game 56: X | NODOTS | counterclockwise > (30 turns, 47/50 moves, 0.01s)
Game 57: X | NODOTS | counterclockwise > (35 turns, 55/57 moves, 0.01s)
Game 58: O | GNU | clockwise > (27 turns, 51/43 moves, 0.01s)
Game 59: X | NODOTS | counterclockwise > (28 turns, 48/49 moves, 0.01s)
Game 60: O | GNU | clockwise > (33 turns, 55/48 moves, 0.01s)
Game 61: O | GNU | clockwise > (37 turns, 64/57 moves, 0.01s)
Game 62: X | NODOTS | counterclockwise > (34 turns, 57/56 moves, 0.01s)
Game 63: O | GNU | clockwise > (43 turns, 65/65 moves, 0.01s)
Game 64: X | NODOTS | counterclockwise > (38 turns, 65/59 moves, 0.01s)
Game 65: O | GNU | clockwise > (28 turns, 50/48 moves, 0.01s)
Game 66: O | GNU | clockwise > (30 turns, 51/47 moves, 0.01s)
Game 67: X | NODOTS | counterclockwise > (34 turns, 53/58 moves, 0.01s)
Game 68: X | NODOTS | counterclockwise > (31 turns, 51/55 moves, 0.01s)
Game 69: O | GNU | clockwise > (38 turns, 59/58 moves, 0.01s)
Game 70: O | GNU | clockwise > (41 turns, 70/62 moves, 0.01s)
Game 71: X | NODOTS | counterclockwise > (34 turns, 53/54 moves, 0.01s)
Game 72: O | GNU | clockwise > (34 turns, 58/51 moves, 0.01s)
Game 73: O | GNU | clockwise > (34 turns, 57/50 moves, 0.01s)
Game 74: X | NODOTS | counterclockwise > (32 turns, 50/56 moves, 0.01s)
Game 75: O | GNU | clockwise > (32 turns, 55/56 moves, 0.01s)
Game 76: X | NODOTS | counterclockwise > (34 turns, 57/55 moves, 0.01s)
Game 77: O | GNU | clockwise > (33 turns, 53/47 moves, 0.01s)
Game 78: O | GNU | clockwise > (29 turns, 50/44 moves, 0.01s)
Game 79: O | GNU | clockwise > (30 turns, 57/49 moves, 0.01s)
Game 80: X | NODOTS | counterclockwise > (30 turns, 51/55 moves, 0.01s)
Game 81: O | GNU | clockwise > (37 turns, 68/54 moves, 0.01s)
Game 82: O | GNU | clockwise > (27 turns, 49/45 moves, 0.01s)
Game 83: O | GNU | clockwise > (35 turns, 60/53 moves, 0.01s)
Game 84: X | NODOTS | counterclockwise > (34 turns, 55/54 moves, 0.01s)
Game 85: O | GNU | clockwise > (35 turns, 57/56 moves, 0.01s)
Game 86: O | GNU | clockwise > (29 turns, 52/44 moves, 0.01s)
Game 87: O | GNU | clockwise > (34 turns, 57/53 moves, 0.01s)
Game 88: X | NODOTS | counterclockwise > (32 turns, 50/51 moves, 0.01s)
Game 89: O | GNU | clockwise > (33 turns, 58/57 moves, 0.01s)
Game 90: O | GNU | clockwise > (38 turns, 62/65 moves, 0.01s)
Game 91: X | NODOTS | counterclockwise > (37 turns, 56/64 moves, 0.01s)
Game 92: O | GNU | clockwise > (31 turns, 51/52 moves, 0.01s)
Game 93: O | GNU | clockwise > (37 turns, 60/56 moves, 0.01s)
Game 94: O | GNU | clockwise > (36 turns, 64/63 moves, 0.01s)
Game 95: O | GNU | clockwise > (42 turns, 68/60 moves, 0.01s)
Game 96: O | GNU | clockwise > (33 turns, 54/50 moves, 0.01s)
Game 97: X | NODOTS | counterclockwise > (35 turns, 55/57 moves, 0.01s)
Game 98: X | NODOTS | counterclockwise > (36 turns, 62/57 moves, 0.01s)
Game 99: X | NODOTS | counterclockwise > (28 turns, 46/53 moves, 0.01s)
Game 100: O | GNU | clockwise > (35 turns, 58/53 moves, 0.01s)
Game 101: O | GNU | clockwise > (25 turns, 48/38 moves, 0.01s)
Game 102: O | GNU | clockwise > (38 turns, 65/51 moves, 0.01s)
Game 103: O | GNU | clockwise > (35 turns, 58/55 moves, 0.01s)
Game 104: X | NODOTS | counterclockwise > (36 turns, 58/61 moves, 0.01s)
Game 105: X | NODOTS | counterclockwise > (33 turns, 52/59 moves, 0.01s)
Game 106: X | NODOTS | counterclockwise > (28 turns, 46/48 moves, 0.01s)
Game 107: X | NODOTS | counterclockwise > (29 turns, 48/52 moves, 0.01s)
Game 108: O | GNU | clockwise > (42 turns, 74/62 moves, 0.01s)
Game 109: O | GNU | clockwise > (32 turns, 54/48 moves, 0.01s)
Game 110: O | GNU | clockwise > (39 turns, 62/61 moves, 0.01s)
Game 111: O | GNU | clockwise > (35 turns, 58/55 moves, 0.01s)
Game 112: O | GNU | clockwise > (33 turns, 57/50 moves, 0.01s)
Game 113: X | NODOTS | counterclockwise > (29 turns, 48/48 moves, 0.01s)
Game 114: O | GNU | clockwise > (39 turns, 66/57 moves, 0.01s)
Game 115: X | NODOTS | counterclockwise > (32 turns, 56/53 moves, 0.01s)
Game 116: O | GNU | clockwise > (40 turns, 63/63 moves, 0.01s)
Game 117: O | GNU | clockwise > (39 turns, 67/60 moves, 0.01s)
Game 118: O | GNU | clockwise > (43 turns, 71/62 moves, 0.01s)
Game 119: O | GNU | clockwise > (43 turns, 67/63 moves, 0.01s)
Game 120: X | NODOTS | counterclockwise > (30 turns, 49/52 moves, 0.01s)
Game 121: O | GNU | clockwise > (33 turns, 58/50 moves, 0.01s)
Game 122: O | GNU | clockwise > (38 turns, 62/59 moves, 0.01s)
Game 123: O | GNU | clockwise > (38 turns, 62/66 moves, 0.01s)
Game 124: O | GNU | clockwise > (35 turns, 60/50 moves, 0.01s)
Game 125: O | GNU | clockwise > (38 turns, 64/53 moves, 0.01s)
Game 126: O | GNU | clockwise > (42 turns, 65/57 moves, 0.01s)
Game 127: O | GNU | clockwise > (48 turns, 77/74 moves, 0.02s)
Game 128: O | GNU | clockwise > (36 turns, 59/53 moves, 0.01s)
Game 129: O | GNU | clockwise > (46 turns, 75/68 moves, 0.01s)
Game 130: X | NODOTS | counterclockwise > (26 turns, 45/46 moves, 0.01s)
Game 131: O | GNU | clockwise > (38 turns, 65/63 moves, 0.01s)
Game 132: O | GNU | clockwise > (41 turns, 66/57 moves, 0.01s)
Game 133: O | GNU | clockwise > (33 turns, 58/54 moves, 0.01s)
Game 134: X | NODOTS | counterclockwise > (31 turns, 47/53 moves, 0.01s)
Game 135: X | NODOTS | counterclockwise > (39 turns, 61/63 moves, 0.01s)
Game 136: X | NODOTS | counterclockwise > (34 turns, 51/58 moves, 0.01s)
Game 137: O | GNU | clockwise > (38 turns, 63/58 moves, 0.01s)
Game 138: O | GNU | clockwise > (35 turns, 59/50 moves, 0.01s)
Game 139: X | NODOTS | counterclockwise > (37 turns, 60/56 moves, 0.01s)
Game 140: X | NODOTS | counterclockwise > (26 turns, 43/44 moves, 0.01s)
Game 141: X | NODOTS | counterclockwise > (40 turns, 70/65 moves, 0.01s)
Game 142: O | GNU | clockwise > (27 turns, 47/41 moves, 0.01s)
Game 143: O | GNU | clockwise > (41 turns, 68/58 moves, 0.01s)
Game 144: O | GNU | clockwise > (33 turns, 59/48 moves, 0.01s)
Game 145: O | GNU | clockwise > (35 turns, 59/56 moves, 0.01s)
Game 146: O | GNU | clockwise > (32 turns, 56/58 moves, 0.01s)
Game 147: O | GNU | clockwise > (33 turns, 56/51 moves, 0.01s)
Game 148: X | NODOTS | counterclockwise > (21 turns, 34/41 moves, 0.01s)
Game 149: O | GNU | clockwise > (25 turns, 50/42 moves, 0.01s)
Game 150: O | GNU | clockwise > (38 turns, 62/58 moves, 0.01s)
Game 151: O | GNU | clockwise > (31 turns, 55/47 moves, 0.01s)
Game 152: O | GNU | clockwise > (35 turns, 63/53 moves, 0.01s)
Game 153: O | GNU | clockwise > (38 turns, 57/56 moves, 0.01s)
Game 154: O | GNU | clockwise > (42 turns, 68/63 moves, 0.01s)
Game 155: O | GNU | clockwise > (32 turns, 53/52 moves, 0.01s)
Game 156: O | GNU | clockwise > (31 turns, 56/49 moves, 0.01s)
Game 157: O | GNU | clockwise > (36 turns, 63/57 moves, 0.01s)
Game 158: X | NODOTS | counterclockwise > (35 turns, 51/57 moves, 0.01s)
Game 159: O | GNU | clockwise > (37 turns, 64/55 moves, 0.01s)
Game 160: O | GNU | clockwise > (39 turns, 61/59 moves, 0.01s)
Game 161: O | GNU | clockwise > (31 turns, 53/51 moves, 0.01s)
Game 162: X | NODOTS | counterclockwise > (36 turns, 60/61 moves, 0.01s)
Game 163: X | NODOTS | counterclockwise > (49 turns, 74/81 moves, 0.02s)
Game 164: O | GNU | clockwise > (31 turns, 58/52 moves, 0.01s)
